"Step","cos_sim 0.85 - test/test_accuracy","cos_sim 0.85 - test/test_accuracy__MIN","cos_sim 0.85 - test/test_accuracy__MAX","cos_sim 0.85 - test/test_loss","cos_sim 0.85 - test/test_loss__MIN","cos_sim 0.85 - test/test_loss__MAX","cos_sim 0.85 - test/test_adj_density","cos_sim 0.85 - test/test_adj_density__MIN","cos_sim 0.85 - test/test_adj_density__MAX","pearson corr 0.7 - test/test_accuracy","pearson corr 0.7 - test/test_accuracy__MIN","pearson corr 0.7 - test/test_accuracy__MAX","pearson corr 0.7 - test/test_loss","pearson corr 0.7 - test/test_loss__MIN","pearson corr 0.7 - test/test_loss__MAX","pearson corr 0.7 - test/test_adj_density","pearson corr 0.7 - test/test_adj_density__MIN","pearson corr 0.7 - test/test_adj_density__MAX","pearson corr 0.3 - test/test_accuracy","pearson corr 0.3 - test/test_accuracy__MIN","pearson corr 0.3 - test/test_accuracy__MAX","pearson corr 0.3 - test/test_loss","pearson corr 0.3 - test/test_loss__MIN","pearson corr 0.3 - test/test_loss__MAX","pearson corr 0.3 - test/test_adj_density","pearson corr 0.3 - test/test_adj_density__MIN","pearson corr 0.3 - test/test_adj_density__MAX","l2 2 - test/test_accuracy","l2 2 - test/test_accuracy__MIN","l2 2 - test/test_accuracy__MAX","l2 2 - test/test_loss","l2 2 - test/test_loss__MIN","l2 2 - test/test_loss__MAX","l2 2 - test/test_adj_density","l2 2 - test/test_adj_density__MIN","l2 2 - test/test_adj_density__MAX","l2 6 - test/test_accuracy","l2 6 - test/test_accuracy__MIN","l2 6 - test/test_accuracy__MAX","l2 6 - test/test_loss","l2 6 - test/test_loss__MIN","l2 6 - test/test_loss__MAX","l2 6 - test/test_adj_density","l2 6 - test/test_adj_density__MIN","l2 6 - test/test_adj_density__MAX","cos_sim 0.7 - test/test_accuracy","cos_sim 0.7 - test/test_accuracy__MIN","cos_sim 0.7 - test/test_accuracy__MAX","cos_sim 0.7 - test/test_loss","cos_sim 0.7 - test/test_loss__MIN","cos_sim 0.7 - test/test_loss__MAX","cos_sim 0.7 - test/test_adj_density","cos_sim 0.7 - test/test_adj_density__MIN","cos_sim 0.7 - test/test_adj_density__MAX","l2 15 - test/test_accuracy","l2 15 - test/test_accuracy__MIN","l2 15 - test/test_accuracy__MAX","l2 15 - test/test_loss","l2 15 - test/test_loss__MIN","l2 15 - test/test_loss__MAX","l2 15 - test/test_adj_density","l2 15 - test/test_adj_density__MIN","l2 15 - test/test_adj_density__MAX","pearson corr 0.1 - test/test_accuracy","pearson corr 0.1 - test/test_accuracy__MIN","pearson corr 0.1 - test/test_accuracy__MAX","pearson corr 0.1 - test/test_loss","pearson corr 0.1 - test/test_loss__MIN","pearson corr 0.1 - test/test_loss__MAX","pearson corr 0.1 - test/test_adj_density","pearson corr 0.1 - test/test_adj_density__MIN","pearson corr 0.1 - test/test_adj_density__MAX","cos_sim 0.6 - test/test_accuracy","cos_sim 0.6 - test/test_accuracy__MIN","cos_sim 0.6 - test/test_accuracy__MAX","cos_sim 0.6 - test/test_loss","cos_sim 0.6 - test/test_loss__MIN","cos_sim 0.6 - test/test_loss__MAX","cos_sim 0.6 - test/test_adj_density","cos_sim 0.6 - test/test_adj_density__MIN","cos_sim 0.6 - test/test_adj_density__MAX"
"0","0.6767777777777778","0.6767777777777778","0.6767777777777778","0.9484596840033295","0.9484596840033295","0.9484596840033295","0.03875775709219858","0.03875775709219858","0.03875775709219858","0.6796666666666666","0.6796666666666666","0.6796666666666666","0.9272509838672395","0.9272509838672395","0.9272509838672395","0.03647911125886525","0.03647911125886525","0.03647911125886525","0.6621111111111111","0.6621111111111111","0.6621111111111111","0.9708137676014122","0.9708137676014122","0.9708137676014122","0.21439356161347517","0.21439356161347517","0.21439356161347517","0.662","0.662","0.662","0.9821832183193653","0.9821832183193653","0.9821832183193653","0.06316489361702128","0.06316489361702128","0.06316489361702128","0.6302222222222222","0.6302222222222222","0.6302222222222222","1.1189384474187878","1.1189384474187878","1.1189384474187878","0.18949468085106383","0.18949468085106383","0.18949468085106383","0.6154444444444445","0.6154444444444445","0.6154444444444445","1.2521002503997045","1.2521002503997045","1.2521002503997045","0.2679036458333333","0.2679036458333333","0.2679036458333333","0.43944444444444447","0.43944444444444447","0.43944444444444447","1.99572110894724","1.99572110894724","1.99572110894724","0.4706338652482269","0.4706338652482269","0.4706338652482269","0.5883333333333334","0.5883333333333334","0.5883333333333334","1.234985462739958","1.234985462739958","1.234985462739958","0.576899102393617","0.576899102393617","0.576899102393617","0.16177777777777777","0.16177777777777777","0.16177777777777777","22.050455127202028","22.050455127202028","22.050455127202028","0.6637162012411347","0.6637162012411347","0.6637162012411347"
"3","0.7048888888888889","0.7048888888888889","0.7048888888888889","0.8692837823578652","0.8692837823578652","0.8692837823578652","0.040980995124113476","0.040980995124113476","0.040980995124113476","0.7036666666666667","0.7036666666666667","0.7036666666666667","0.8720897345255453","0.8720897345255453","0.8720897345255453","0.03617436835106383","0.03617436835106383","0.03617436835106383","0.6912222222222222","0.6912222222222222","0.6912222222222222","0.8911606473914275","0.8911606473914275","0.8911606473914275","0.21266899379432624","0.21266899379432624","0.21266899379432624","0.6914444444444444","0.6914444444444444","0.6914444444444444","0.8944776619368411","0.8944776619368411","0.8944776619368411","0.06316489361702128","0.06316489361702128","0.06316489361702128","0.6913333333333334","0.6913333333333334","0.6913333333333334","0.9325820362948357","0.9325820362948357","0.9325820362948357","0.18949468085106383","0.18949468085106383","0.18949468085106383","0.6658888888888889","0.6658888888888889","0.6658888888888889","1.0210624793742566","1.0210624793742566","1.0210624793742566","0.2388422539893617","0.2388422539893617","0.2388422539893617","0.5984444444444444","0.5984444444444444","0.5984444444444444","1.283022036789157","1.283022036789157","1.283022036789157","0.4706338652482269","0.4706338652482269","0.4706338652482269","0.6574444444444445","0.6574444444444445","0.6574444444444445","1.0331062239112583","1.0331062239112583","1.0331062239112583","0.5660530252659575","0.5660530252659575","0.5660530252659575","0.1761111111111111","0.1761111111111111","0.1761111111111111","10.50278000966877","10.50278000966877","10.50278000966877","0.6362616356382979","0.6362616356382979","0.6362616356382979"
"6","0.715","0.715","0.715","0.8469087530640845","0.8469087530640845","0.8469087530640845","0.04188829787234043","0.04188829787234043","0.04188829787234043","0.7213333333333334","0.7213333333333334","0.7213333333333334","0.8312323545204833","0.8312323545204833","0.8312323545204833","0.037760416666666664","0.037760416666666664","0.037760416666666664","0.7105555555555556","0.7105555555555556","0.7105555555555556","0.8748822876958983","0.8748822876958983","0.8748822876958983","0.19309618794326242","0.19309618794326242","0.19309618794326242","0.7006666666666667","0.7006666666666667","0.7006666666666667","0.874766893420659","0.874766893420659","0.874766893420659","0.06316489361702128","0.06316489361702128","0.06316489361702128","0.6983333333333334","0.6983333333333334","0.6983333333333334","0.9010671992251214","0.9010671992251214","0.9010671992251214","0.18949468085106383","0.18949468085106383","0.18949468085106383","0.6517777777777778","0.6517777777777778","0.6517777777777778","1.0801747020677472","1.0801747020677472","1.0801747020677472","0.2140195589539007","0.2140195589539007","0.2140195589539007","0.6382222222222222","0.6382222222222222","0.6382222222222222","1.207254431454848","1.207254431454848","1.207254431454848","0.4706338652482269","0.4706338652482269","0.4706338652482269","0.6906666666666667","0.6906666666666667","0.6906666666666667","0.9470699585921375","0.9470699585921375","0.9470699585921375","0.49297013519503546","0.49297013519503546","0.49297013519503546","0.21066666666666667","0.21066666666666667","0.21066666666666667","7.192704485663286","7.192704485663286","7.192704485663286","0.5914990580673759","0.5914990580673759","0.5914990580673759"
"9","0.7241111111111111","0.7241111111111111","0.7241111111111111","0.8176725117872793","0.8176725117872793","0.8176725117872793","0.042290004432624116","0.042290004432624116","0.042290004432624116","0.7288888888888889","0.7288888888888889","0.7288888888888889","0.8117854791752835","0.8117854791752835","0.8117854791752835","0.0378158244680851","0.0378158244680851","0.0378158244680851","0.719","0.719","0.719","0.8473540223236625","0.8473540223236625","0.8473540223236625","0.20323581560283688","0.20323581560283688","0.20323581560283688","0.7105555555555556","0.7105555555555556","0.7105555555555556","0.8489829409629741","0.8489829409629741","0.8489829409629741","0.06316489361702128","0.06316489361702128","0.06316489361702128","0.7087777777777777","0.7087777777777777","0.7087777777777777","0.8595319969434265","0.8595319969434265","0.8595319969434265","0.18949468085106383","0.18949468085106383","0.18949468085106383","0.6746666666666666","0.6746666666666666","0.6746666666666666","1.0105742328133143","1.0105742328133143","1.0105742328133143","0.2175171764184397","0.2175171764184397","0.2175171764184397","0.6538888888888889","0.6538888888888889","0.6538888888888889","1.115929713697298","1.115929713697298","1.115929713697298","0.4706338652482269","0.4706338652482269","0.4706338652482269","0.6995555555555556","0.6995555555555556","0.6995555555555556","0.8922542319864246","0.8922542319864246","0.8922542319864246","0.5057070035460993","0.5057070035460993","0.5057070035460993","0.3417777777777778","0.3417777777777778","0.3417777777777778","4.163108094786922","4.163108094786922","4.163108094786922","0.5683663009751773","0.5683663009751773","0.5683663009751773"
"12","0.7235555555555555","0.7235555555555555","0.7235555555555555","0.8234974280105415","0.8234974280105415","0.8234974280105415","0.04229693040780142","0.04229693040780142","0.04229693040780142","0.7218888888888889","0.7218888888888889","0.7218888888888889","0.8302111856058134","0.8302111856058134","0.8302111856058134","0.03893090647163121","0.03893090647163121","0.03893090647163121","0.7095555555555556","0.7095555555555556","0.7095555555555556","0.8367865346636333","0.8367865346636333","0.8367865346636333","0.20408078457446807","0.20408078457446807","0.20408078457446807","0.7115555555555556","0.7115555555555556","0.7115555555555556","0.858013611418981","0.858013611418981","0.858013611418981","0.06316489361702128","0.06316489361702128","0.06316489361702128","0.698","0.698","0.698","0.8976511907704333","0.8976511907704333","0.8976511907704333","0.18949468085106383","0.18949468085106383","0.18949468085106383","0.686","0.686","0.686","0.97859876756127","0.97859876756127","0.97859876756127","0.21879155585106383","0.21879155585106383","0.21879155585106383","0.5951111111111111","0.5951111111111111","0.5951111111111111","1.3594164503804336","1.3594164503804336","1.3594164503804336","0.4706338652482269","0.4706338652482269","0.4706338652482269","0.6904444444444444","0.6904444444444444","0.6904444444444444","0.9250584672740165","0.9250584672740165","0.9250584672740165","0.521574412677305","0.521574412677305","0.521574412677305","0.32822222222222225","0.32822222222222225","0.32822222222222225","3.9676545575155435","3.9676545575155435","3.9676545575155435","0.5606646165780141","0.5606646165780141","0.5606646165780141"
"15","0.7266666666666667","0.7266666666666667","0.7266666666666667","0.798366886398471","0.798366886398471","0.798366886398471","0.042428523936170214","0.042428523936170214","0.042428523936170214","0.7321111111111112","0.7321111111111112","0.7321111111111112","0.792428730174582","0.792428730174582","0.792428730174582","0.03733793218085106","0.03733793218085106","0.03733793218085106","0.7281111111111112","0.7281111111111112","0.7281111111111112","0.8182630468133494","0.8182630468133494","0.8182630468133494","0.19092143173758866","0.19092143173758866","0.19092143173758866","0.7152222222222222","0.7152222222222222","0.7152222222222222","0.845284289819129","0.845284289819129","0.845284289819129","0.06316489361702128","0.06316489361702128","0.06316489361702128","0.7134444444444444","0.7134444444444444","0.7134444444444444","0.8490453602363032","0.8490453602363032","0.8490453602363032","0.18949468085106383","0.18949468085106383","0.18949468085106383","0.7103333333333334","0.7103333333333334","0.7103333333333334","0.9083669978253385","0.9083669978253385","0.9083669978253385","0.2134239250886525","0.2134239250886525","0.2134239250886525","0.6812222222222222","0.6812222222222222","0.6812222222222222","1.0143019301248781","1.0143019301248781","1.0143019301248781","0.4706338652482269","0.4706338652482269","0.4706338652482269","0.709","0.709","0.709","0.8742953979588569","0.8742953979588569","0.8742953979588569","0.4860580119680851","0.4860580119680851","0.4860580119680851","0.41044444444444445","0.41044444444444445","0.41044444444444445","3.214725234195696","3.214725234195696","3.214725234195696","0.5583790447695035","0.5583790447695035","0.5583790447695035"
"18","0.7437777777777778","0.7437777777777778","0.7437777777777778","0.7505531783433671","0.7505531783433671","0.7505531783433671","0.04144503546099291","0.04144503546099291","0.04144503546099291","0.7403333333333333","0.7403333333333333","0.7403333333333333","0.7676821210494278","0.7676821210494278","0.7676821210494278","0.03741411790780142","0.03741411790780142","0.03741411790780142","0.7333333333333333","0.7333333333333333","0.7333333333333333","0.7749604678957175","0.7749604678957175","0.7749604678957175","0.18646110372340424","0.18646110372340424","0.18646110372340424","0.7381111111111112","0.7381111111111112","0.7381111111111112","0.7635205037204932","0.7635205037204932","0.7635205037204932","0.06316489361702128","0.06316489361702128","0.06316489361702128","0.7267777777777777","0.7267777777777777","0.7267777777777777","0.8158821421312102","0.8158821421312102","0.8158821421312102","0.18949468085106383","0.18949468085106383","0.18949468085106383","0.7227777777777777","0.7227777777777777","0.7227777777777777","0.8626596905449604","0.8626596905449604","0.8626596905449604","0.21271747562056736","0.21271747562056736","0.21271747562056736","0.6801111111111111","0.6801111111111111","0.6801111111111111","1.0053333650666771","1.0053333650666771","1.0053333650666771","0.4706338652482269","0.4706338652482269","0.4706338652482269","0.7074444444444444","0.7074444444444444","0.7074444444444444","0.8574235446698276","0.8574235446698276","0.8574235446698276","0.4722406914893617","0.4722406914893617","0.4722406914893617","0.4771111111111111","0.4771111111111111","0.4771111111111111","2.5524196559233023","2.5524196559233023","2.5524196559233023","0.5438968306737588","0.5438968306737588","0.5438968306737588"
"21","0.7406666666666667","0.7406666666666667","0.7406666666666667","0.7923145482303403","0.7923145482303403","0.7923145482303403","0.04225537455673759","0.04225537455673759","0.04225537455673759","0.7433333333333333","0.7433333333333333","0.7433333333333333","0.7866103235922807","0.7866103235922807","0.7866103235922807","0.03758726728723404","0.03758726728723404","0.03758726728723404","0.7288888888888889","0.7288888888888889","0.7288888888888889","0.8064865974564079","0.8064865974564079","0.8064865974564079","0.19624750664893617","0.19624750664893617","0.19624750664893617","0.7346666666666667","0.7346666666666667","0.7346666666666667","0.791074719623471","0.791074719623471","0.791074719623471","0.06316489361702128","0.06316489361702128","0.06316489361702128","0.723","0.723","0.723","0.83307058633642","0.83307058633642","0.83307058633642","0.18949468085106383","0.18949468085106383","0.18949468085106383","0.7281111111111112","0.7281111111111112","0.7281111111111112","0.8475599433724762","0.8475599433724762","0.8475599433724762","0.20363752216312056","0.20363752216312056","0.20363752216312056","0.6957777777777778","0.6957777777777778","0.6957777777777778","0.9572969155108675","0.9572969155108675","0.9572969155108675","0.4706338652482269","0.4706338652482269","0.4706338652482269","0.7192222222222222","0.7192222222222222","0.7192222222222222","0.844085213140393","0.844085213140393","0.844085213140393","0.48571171320921985","0.48571171320921985","0.48571171320921985","0.4741111111111111","0.4741111111111111","0.4741111111111111","2.382568067058604","2.382568067058604","2.382568067058604","0.5469234818262412","0.5469234818262412","0.5469234818262412"
"24","0.7278888888888889","0.7278888888888889","0.7278888888888889","0.8317913737491514","0.8317913737491514","0.8317913737491514","0.04411153590425532","0.04411153590425532","0.04411153590425532","0.7282222222222222","0.7282222222222222","0.7282222222222222","0.8321175722154319","0.8321175722154319","0.8321175722154319","0.038750831117021274","0.038750831117021274","0.038750831117021274","0.7304444444444445","0.7304444444444445","0.7304444444444445","0.8469627101687675","0.8469627101687675","0.8469627101687675","0.19689854831560283","0.19689854831560283","0.19689854831560283","0.7266666666666667","0.7266666666666667","0.7266666666666667","0.8590288928425904","0.8590288928425904","0.8590288928425904","0.06316489361702128","0.06316489361702128","0.06316489361702128","0.7223333333333334","0.7223333333333334","0.7223333333333334","0.8705267424279071","0.8705267424279071","0.8705267424279071","0.18949468085106383","0.18949468085106383","0.18949468085106383","0.7232222222222222","0.7232222222222222","0.7232222222222222","0.8931482872853043","0.8931482872853043","0.8931482872853043","0.21392952127659576","0.21392952127659576","0.21392952127659576","0.692","0.692","0.692","0.9791606117753272","0.9791606117753272","0.9791606117753272","0.4706338652482269","0.4706338652482269","0.4706338652482269","0.7128888888888889","0.7128888888888889","0.7128888888888889","0.8956424496698041","0.8956424496698041","0.8956424496698041","0.46382563164893614","0.46382563164893614","0.46382563164893614","0.5845555555555556","0.5845555555555556","0.5845555555555556","1.567934049782178","1.567934049782178","1.567934049782178","0.5372963763297872","0.5372963763297872","0.5372963763297872"
