"Step","cloudnet - test/test_accuracy","cloudnet - test/test_accuracy__MIN","cloudnet - test/test_accuracy__MAX","cloudnet - test/test_loss","cloudnet - test/test_loss__MIN","cloudnet - test/test_loss__MAX"
"0","0.5044444444444445","0.5044444444444445","0.5044444444444445","1.6339013221528795","1.6339013221528795","1.6339013221528795"
"3","0.5432222222222223","0.5432222222222223","0.5432222222222223","1.4854154422548083","1.4854154422548083","1.4854154422548083"
"6","0.5621111111111111","0.5621111111111111","0.5621111111111111","1.4245225217607287","1.4245225217607287","1.4245225217607287"
"9","0.5812222222222222","0.5812222222222222","0.5812222222222222","1.3804909563064576","1.3804909563064576","1.3804909563064576"
"12","0.6043333333333333","0.6043333333333333","0.6043333333333333","1.3441418737835353","1.3441418737835353","1.3441418737835353"
"15","0.6182222222222222","0.6182222222222222","0.6182222222222222","1.3127731426556906","1.3127731426556906","1.3127731426556906"
"18","0.6267777777777778","0.6267777777777778","0.6267777777777778","1.2909594480196636","1.2909594480196636","1.2909594480196636"
"21","0.6312222222222222","0.6312222222222222","0.6312222222222222","1.2708539038234288","1.2708539038234288","1.2708539038234288"
"24","0.6478888888888888","0.6478888888888888","0.6478888888888888","1.2140472467740377","1.2140472467740377","1.2140472467740377"
"27","0.6482222222222223","0.6482222222222223","0.6482222222222223","1.255846426486969","1.255846426486969","1.255846426486969"
"30","0.6653333333333333","0.6653333333333333","0.6653333333333333","1.2364470911026002","1.2364470911026002","1.2364470911026002"
"33","0.6676666666666666","0.6676666666666666","0.6676666666666666","1.2324277498986986","1.2324277498986986","1.2324277498986986"
"36","0.6717777777777778","0.6717777777777778","0.6717777777777778","1.2224026727676391","1.2224026727676391","1.2224026727676391"
"39","0.6756666666666666","0.6756666666666666","0.6756666666666666","1.1752482861942715","1.1752482861942715","1.1752482861942715"
"42","0.6802222222222222","0.6802222222222222","0.6802222222222222","1.1618608469433254","1.1618608469433254","1.1618608469433254"
"45","0.6801111111111111","0.6801111111111111","0.6801111111111111","1.1930502626630994","1.1930502626630994","1.1930502626630994"
"48","0.682","0.682","0.682","1.1671559521887038","1.1671559521887038","1.1671559521887038"
"51","0.6777777777777778","0.6777777777777778","0.6777777777777778","1.1697291260295444","1.1697291260295444","1.1697291260295444"
"54","0.6866666666666666","0.6866666666666666","0.6866666666666666","1.1555403314696417","1.1555403314696417","1.1555403314696417"
"57","0.6812222222222222","0.6812222222222222","0.6812222222222222","1.172051533593072","1.172051533593072","1.172051533593072"
"60","0.6907777777777778","0.6907777777777778","0.6907777777777778","1.182553035153283","1.182553035153283","1.182553035153283"
"63","0.693","0.693","0.693","1.1593648902575175","1.1593648902575175","1.1593648902575175"
"66","0.6861111111111111","0.6861111111111111","0.6861111111111111","1.1860512640741137","1.1860512640741137","1.1860512640741137"
"69","0.6906666666666667","0.6906666666666667","0.6906666666666667","1.1453178752793207","1.1453178752793207","1.1453178752793207"
"72","0.6936666666666667","0.6936666666666667","0.6936666666666667","1.14539380841785","1.14539380841785","1.14539380841785"
"75","0.6925555555555556","0.6925555555555556","0.6925555555555556","1.1525940863291422","1.1525940863291422","1.1525940863291422"
"78","0.695","0.695","0.695","1.1702608042293126","1.1702608042293126","1.1702608042293126"
"81","0.6937777777777778","0.6937777777777778","0.6937777777777778","1.1417540346251593","1.1417540346251593","1.1417540346251593"
"84","0.6934444444444444","0.6934444444444444","0.6934444444444444","1.1564676011933221","1.1564676011933221","1.1564676011933221"
"87","0.7008888888888889","0.7008888888888889","0.7008888888888889","1.138591083685557","1.138591083685557","1.138591083685557"
"90","0.6982222222222222","0.6982222222222222","0.6982222222222222","1.1402253346972995","1.1402253346972995","1.1402253346972995"
"93","0.6963333333333334","0.6963333333333334","0.6963333333333334","1.1556064584520127","1.1556064584520127","1.1556064584520127"
"96","0.6945555555555556","0.6945555555555556","0.6945555555555556","1.16760083410475","1.16760083410475","1.16760083410475"
"99","0.6946666666666667","0.6946666666666667","0.6946666666666667","1.1537172110875447","1.1537172110875447","1.1537172110875447"
"102","0.7004444444444444","0.7004444444444444","0.7004444444444444","1.127619560294681","1.127619560294681","1.127619560294681"
"105","0.6986666666666667","0.6986666666666667","0.6986666666666667","1.1411473631858826","1.1411473631858826","1.1411473631858826"
"108","0.6974444444444444","0.6974444444444444","0.6974444444444444","1.1608983127276102","1.1608983127276102","1.1608983127276102"
"111","0.6968888888888889","0.6968888888888889","0.6968888888888889","1.1381074380874634","1.1381074380874634","1.1381074380874634"
"114","0.6966666666666667","0.6966666666666667","0.6966666666666667","1.1424502936999004","1.1424502936999004","1.1424502936999004"
"117","0.7","0.7","0.7","1.1162298327022129","1.1162298327022129","1.1162298327022129"
"120","0.6994444444444444","0.6994444444444444","0.6994444444444444","1.1361819775899251","1.1361819775899251","1.1361819775899251"
"123","0.706","0.706","0.706","1.1204608776834275","1.1204608776834275","1.1204608776834275"
"126","0.6997777777777778","0.6997777777777778","0.6997777777777778","1.1462217791875204","1.1462217791875204","1.1462217791875204"
"129","0.7011111111111111","0.7011111111111111","0.7011111111111111","1.1494153899616666","1.1494153899616666","1.1494153899616666"
"132","0.705","0.705","0.705","1.1295720060666403","1.1295720060666403","1.1295720060666403"
"135","0.6984444444444444","0.6984444444444444","0.6984444444444444","1.1322785682148404","1.1322785682148404","1.1322785682148404"
"138","0.7017777777777777","0.7017777777777777","0.7017777777777777","1.1365643241670396","1.1365643241670396","1.1365643241670396"
"141","0.6963333333333334","0.6963333333333334","0.6963333333333334","1.155888339943356","1.155888339943356","1.155888339943356"
"144","0.7048888888888889","0.7048888888888889","0.7048888888888889","1.1204475410779318","1.1204475410779318","1.1204475410779318"
"147","0.7027777777777777","0.7027777777777777","0.7027777777777777","1.129263863298628","1.129263863298628","1.129263863298628"
"150","0.701","0.701","0.701","1.1355919671058654","1.1355919671058654","1.1355919671058654"
"153","0.7032222222222222","0.7032222222222222","0.7032222222222222","1.1370761773321363","1.1370761773321363","1.1370761773321363"
"156","0.7031111111111111","0.7031111111111111","0.7031111111111111","1.139682887395223","1.139682887395223","1.139682887395223"
"159","0.6995555555555556","0.6995555555555556","0.6995555555555556","1.1449156133333842","1.1449156133333842","1.1449156133333842"
"162","0.7006666666666667","0.7006666666666667","0.7006666666666667","1.1467310860421922","1.1467310860421922","1.1467310860421922"