"Step","cos thresh 0.6 - test/test_accuracy","cos thresh 0.6 - test/test_accuracy__MIN","cos thresh 0.6 - test/test_accuracy__MAX","cos thresh 0.6 - test/test_adj_density","cos thresh 0.6 - test/test_adj_density__MIN","cos thresh 0.6 - test/test_adj_density__MAX","cos thresh 0.6 - test/test_loss","cos thresh 0.6 - test/test_loss__MIN","cos thresh 0.6 - test/test_loss__MAX","cos thresh 0.6 - train/train_accuracy","cos thresh 0.6 - train/train_accuracy__MIN","cos thresh 0.6 - train/train_accuracy__MAX","cos thresh 0.6 - train/train_loss","cos thresh 0.6 - train/train_loss__MIN","cos thresh 0.6 - train/train_loss__MAX","cos thresh 0.6 - train/train_adj_density","cos thresh 0.6 - train/train_adj_density__MIN","cos thresh 0.6 - train/train_adj_density__MAX"
"0","0.15833333333333333","0.15833333333333333","0.15833333333333333","0.6606833333333335","0.6606833333333335","0.6606833333333335","18.195397754245334","18.195397754245334","18.195397754245334","0.6882","0.6882","0.6882","0.9556459053754807","0.9556459053754807","0.9556459053754807","0.9211049999999993","0.9211049999999993","0.9211049999999993"
"3","0.23444444444444446","0.23444444444444446","0.23444444444444446","0.6108111111111113","0.6108111111111113","0.6108111111111113","10.559972604115805","10.559972604115805","10.559972604115805","0.8227","0.8227","0.8227","0.5322350793480873","0.5322350793480873","0.5322350793480873","0.8530099999999998","0.8530099999999998","0.8530099999999998"
"6","0.29133333333333333","0.29133333333333333","0.29133333333333333","0.5672444444444447","0.5672444444444447","0.5672444444444447","7.888629927105374","7.888629927105374","7.888629927105374","0.846","0.846","0.846","0.4414429468512535","0.4414429468512535","0.4414429468512535","0.8122999999999997","0.8122999999999997","0.8122999999999997"
"9","0.306","0.306","0.306","0.5635944444444446","0.5635944444444446","0.5635944444444446","6.296002839406332","6.296002839406332","6.296002839406332","0.8526","0.8526","0.8526","0.40515877002477646","0.40515877002477646","0.40515877002477646","0.7672749999999995","0.7672749999999995","0.7672749999999995"
"12","0.3595555555555556","0.3595555555555556","0.3595555555555556","0.5544777777777776","0.5544777777777776","0.5544777777777776","5.710428580178155","5.710428580178155","5.710428580178155","0.8644","0.8644","0.8644","0.3773225573897362","0.3773225573897362","0.3773225573897362","0.75306","0.75306","0.75306"
"15","0.40044444444444444","0.40044444444444444","0.40044444444444444","0.5408555555555553","0.5408555555555553","0.5408555555555553","3.9268775606155395","3.9268775606155395","3.9268775606155395","0.8676","0.8676","0.8676","0.3607158010005951","0.3607158010005951","0.3607158010005951","0.7297399999999997","0.7297399999999997","0.7297399999999997"
"18","0.45266666666666666","0.45266666666666666","0.45266666666666666","0.5213888888888889","0.5213888888888889","0.5213888888888889","3.228645315700107","3.228645315700107","3.228645315700107","0.8702","0.8702","0.8702","0.3450451374053955","0.3450451374053955","0.3450451374053955","0.7257000000000007","0.7257000000000007","0.7257000000000007"
"21","0.48433333333333334","0.48433333333333334","0.48433333333333334","0.5255055555555558","0.5255055555555558","0.5255055555555558","3.2578335846794975","3.2578335846794975","3.2578335846794975","0.8735","0.8735","0.8735","0.3356248895227909","0.3356248895227909","0.3356248895227909","0.7071250000000002","0.7071250000000002","0.7071250000000002"
"24","0.5247777777777778","0.5247777777777778","0.5247777777777778","0.5120777777777775","0.5120777777777775","0.5120777777777775","2.4460160880618624","2.4460160880618624","2.4460160880618624","0.8808","0.8808","0.8808","0.3186400395333767","0.3186400395333767","0.3186400395333767","0.6913649999999997","0.6913649999999997","0.6913649999999997"
"27","0.5018888888888889","0.5018888888888889","0.5018888888888889","0.5399944444444447","0.5399944444444447","0.5399944444444447","2.558183342880673","2.558183342880673","2.558183342880673","0.8799","0.8799","0.8799","0.31428731563687323","0.31428731563687323","0.31428731563687323","0.6889499999999997","0.6889499999999997","0.6889499999999997"
"30","0.5257777777777778","0.5257777777777778","0.5257777777777778","0.5014722222222218","0.5014722222222218","0.5014722222222218","2.5440580240885415","2.5440580240885415","2.5440580240885415","0.8817","0.8817","0.8817","0.3070963885486126","0.3070963885486126","0.3070963885486126","0.6864250000000002","0.6864250000000002","0.6864250000000002"
"33","0.5534444444444444","0.5534444444444444","0.5534444444444444","0.4870055555555558","0.4870055555555558","0.4870055555555558","2.066804525322384","2.066804525322384","2.066804525322384","0.8916","0.8916","0.8916","0.29070889386534693","0.29070889386534693","0.29070889386534693","0.6690549999999997","0.6690549999999997","0.6690549999999997"
"36","0.5733333333333334","0.5733333333333334","0.5733333333333334","0.4933055555555555","0.4933055555555555","0.4933055555555555","1.9152879614300198","1.9152879614300198","1.9152879614300198","0.8914","0.8914","0.8914","0.2956389750242233","0.2956389750242233","0.2956389750242233","0.6715249999999998","0.6715249999999998","0.6715249999999998"
"39","0.5686666666666667","0.5686666666666667","0.5686666666666667","0.477138888888889","0.477138888888889","0.477138888888889","1.9998112760649787","1.9998112760649787","1.9998112760649787","0.8933","0.8933","0.8933","0.28484237277507785","0.28484237277507785","0.28484237277507785","0.6623349999999999","0.6623349999999999","0.6623349999999999"
"42","0.6142222222222222","0.6142222222222222","0.6142222222222222","0.4974499999999999","0.4974499999999999","0.4974499999999999","1.6260430518786113","1.6260430518786113","1.6260430518786113","0.8928","0.8928","0.8928","0.28023983654379847","0.28023983654379847","0.28023983654379847","0.6525599999999995","0.6525599999999995","0.6525599999999995"
"45","0.586","0.586","0.586","0.4752333333333334","0.4752333333333334","0.4752333333333334","1.9240953101052178","1.9240953101052178","1.9240953101052178","0.8946","0.8946","0.8946","0.2685973463058472","0.2685973463058472","0.2685973463058472","0.6521549999999998","0.6521549999999998","0.6521549999999998"
"48","0.6147777777777778","0.6147777777777778","0.6147777777777778","0.4858722222222222","0.4858722222222222","0.4858722222222222","1.5286694402164882","1.5286694402164882","1.5286694402164882","0.9037","0.9037","0.9037","0.2642238053977489","0.2642238053977489","0.2642238053977489","0.65404","0.65404","0.65404"
"51","0.6075555555555555","0.6075555555555555","0.6075555555555555","0.4723055555555554","0.4723055555555554","0.4723055555555554","1.6658901042408414","1.6658901042408414","1.6658901042408414","0.905","0.905","0.905","0.25161561140418054","0.25161561140418054","0.25161561140418054","0.6545000000000001","0.6545000000000001","0.6545000000000001"
"54","0.5862222222222222","0.5862222222222222","0.5862222222222222","0.47028333333333333","0.47028333333333333","0.47028333333333333","2.005387476550208","2.005387476550208","2.005387476550208","0.8999","0.8999","0.8999","0.26194936046004297","0.26194936046004297","0.26194936046004297","0.655245","0.655245","0.655245"
"57","0.576","0.576","0.576","0.4771833333333331","0.4771833333333331","0.4771833333333331","2.1310991485913595","2.1310991485913595","2.1310991485913595","0.9005","0.9005","0.9005","0.2649344425201416","0.2649344425201416","0.2649344425201416","0.6527899999999998","0.6527899999999998","0.6527899999999998"
"60","0.6011111111111112","0.6011111111111112","0.6011111111111112","0.48137777777777785","0.48137777777777785","0.48137777777777785","1.8153835339016384","1.8153835339016384","1.8153835339016384","0.9039","0.9039","0.9039","0.25468761402368545","0.25468761402368545","0.25468761402368545","0.65064","0.65064","0.65064"
"63","0.5746666666666667","0.5746666666666667","0.5746666666666667","0.47040000000000015","0.47040000000000015","0.47040000000000015","2.102241031328837","2.102241031328837","2.102241031328837","0.9061","0.9061","0.9061","0.25087111409008506","0.25087111409008506","0.25087111409008506","0.6573649999999996","0.6573649999999996","0.6573649999999996"
"66","0.5831111111111111","0.5831111111111111","0.5831111111111111","0.46027222222222236","0.46027222222222236","0.46027222222222236","2.000552064842648","2.000552064842648","2.000552064842648","0.9056","0.9056","0.9056","0.2464693905711174","0.2464693905711174","0.2464693905711174","0.6495949999999998","0.6495949999999998","0.6495949999999998"
"69","0.5812222222222222","0.5812222222222222","0.5812222222222222","0.4753555555555556","0.4753555555555556","0.4753555555555556","2.1728785037994385","2.1728785037994385","2.1728785037994385","0.9083","0.9083","0.9083","0.23411787834763526","0.23411787834763526","0.23411787834763526","0.6422000000000001","0.6422000000000001","0.6422000000000001"
"72","0.6077777777777778","0.6077777777777778","0.6077777777777778","0.4674500000000001","0.4674500000000001","0.4674500000000001","1.7604106677903069","1.7604106677903069","1.7604106677903069","0.9061","0.9061","0.9061","0.24623730701208116","0.24623730701208116","0.24623730701208116","0.6419549999999999","0.6419549999999999","0.6419549999999999"